backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,NOW,2025-02-21,188.8,2025-03-07,171.6,-9.11,SL,14,3,3,3,0.1500,0.0700
2026-03-03,NOW,2025-03-07,163.588,2025-04-07,137.656,-15.85,SL,31,3,3,3,0.1500,0.0700
2026-03-03,NOW,2025-04-07,153.7,2025-04-25,188.8,22.84,TP,18,4,3,3,0.1500,0.0700
2026-03-03,NOW,2025-08-07,175.404,2025-11-21,160.54,-8.47,SL,106,3,3,3,0.1500,0.0700
2026-03-03,NOW,2025-11-21,162.952,2026-01-05,146.51,-10.09,SL,45,4,3,3,0.1500,0.0700
2026-03-03,NOW,2026-01-05,147.42,2026-01-15,135.175,-8.31,SL,10,4,3,3,0.1500,0.0700
2026-03-03,NOW,2026-01-15,129.7,2026-01-30,117.54,-9.38,SL,15,4,3,3,0.1500,0.0700
2026-03-03,NOW,2026-01-30,118.99,2026-02-04,107.19,-9.92,SL,5,4,3,3,0.1500,0.0700
2026-03-03,NOW,2026-02-04,109.025,2026-02-09,100.57,-7.76,SL,5,4,3,3,0.1500,0.0700
2026-03-03,NOW,2026-02-09,104.99,2026-03-02,109.42,4.22,OPEN,21,4,3,3,0.1500,0.0700
2026-03-03,WFC,2023-08-22,41.56,2023-12-15,50.1,20.55,TP,115,3,3,3,0.1500,0.0700
2026-03-03,WFC,2024-08-02,51.31,2024-10-14,61.27,19.41,TP,73,3,3,3,0.1500,0.0700
2026-03-03,WFC,2025-03-07,69.55,2025-04-07,60.69,-12.74,SL,31,3,3,3,0.1500,0.0700
2026-03-03,WFC,2025-04-07,64.685,2025-05-13,75.44,16.63,TP,36,3,3,3,0.1500,0.0700
2026-03-03,WFC,2025-10-10,78.74,2025-12-11,90.54,14.99,TP,62,3,3,3,0.1500,0.0700
2026-03-03,WFC,2026-01-21,86.43,2026-03-02,82.58,-4.45,OPEN,40,3,3,3,0.1500,0.0700
2026-03-03,CSCO,2023-11-16,48.05,2024-10-17,56.375,17.33,TP,336,4,3,3,0.1500,0.0700
2026-03-03,CSCO,2025-03-13,60.32,2025-04-07,53.38,-11.51,SL,25,3,3,3,0.1500,0.0700
2026-03-03,CSCO,2025-04-07,54.735,2025-05-16,63.91,16.76,TP,39,3,3,3,0.1500,0.0700
2026-03-03,SAP,2023-09-26,128.27,2023-11-15,148.16,15.51,TP,50,3,3,3,0.1500,0.0700
2026-03-03,SAP,2025-03-13,260.53,2025-04-08,244.36,-6.21,SL,26,3,3,3,0.1500,0.0700
2026-03-03,SAP,2025-04-08,238.45,2025-04-28,284.72,19.4,TP,20,3,3,3,0.1500,0.0700
2026-03-03,SAP,2025-07-28,285.86,2025-09-11,259.16,-9.34,SL,45,3,3,3,0.1500,0.0700
2026-03-03,SAP,2025-09-15,251.51,2026-01-20,224.775,-10.63,SL,127,3,3,3,0.1500,0.0700
2026-03-03,SAP,2026-01-20,223.53,2026-01-30,203.83,-8.81,SL,10,4,3,3,0.1500,0.0700
2026-03-03,SAP,2026-01-30,205.575,2026-03-02,196.01,-4.65,OPEN,31,4,3,3,0.1500,0.0700
2026-03-03,PG,2025-01-10,159.35,2025-10-14,147.57,-7.39,SL,277,3,3,3,0.1500,0.0700
2026-03-03,PG,2025-10-15,147.99,2026-03-02,163.51,10.49,OPEN,138,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2023-08-04,8.33,2023-08-09,7.41,-11.04,SL,5,3,3,3,0.1500,0.0700
2026-03-03,HIMS,2023-08-09,7.38,2023-08-21,6.84,-7.32,SL,12,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2023-08-21,7.05,2023-09-11,6.57,-6.81,SL,21,4,3,3,0.1500,0.0700
2026-03-03,HIMS,2023-09-11,6.5,2023-09-25,5.95,-8.46,SL,14,3,3,3,0.1500,0.0700
