symbol,ibkr_fair_value,morningstar_fair_value
AAPL,,
MSFT,,
NVDA,,
AMZN,,
GOOGL,,
META,,
V,,
MA,,
JPM,,
KO,,
PG,,
WMT,,
JNJ,,
UNH,,
AVGO,,
